"filename", "language", "YAML", "Dart", "Markdown", "CSS", "JavaScript", "JSON", "Swift", "C++", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\oguzk\Documents\GitHub\Petilla\assets\svg\send.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\oguzk\Documents\GitHub\Petilla\assets\svg\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 3, 18
"c:\Users\oguzk\Documents\GitHub\Petilla\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\oguzk\Documents\GitHub\Petilla\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\oguzk\Documents\GitHub\Petilla\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\oguzk\Documents\GitHub\Petilla\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\oguzk\Documents\GitHub\Petilla\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 1, 45
"c:\Users\oguzk\Documents\GitHub\Petilla\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\oguzk\Documents\GitHub\Petilla\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\oguzk\Documents\GitHub\Petilla\lib\core\base\model\base_view_model.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
