"filename", "language", "YAML", "JSON", "Shell Script", "Markdown", "Dart", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\login_view\login_view.dart", "Dart", 0, 0, 0, 0, -125, -1, -17, -143
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\login_view\login_view_model.dart", "Dart", 0, 0, 0, 0, -21, 0, -2, -23
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\register_view\register_view.dart", "Dart", 0, 0, 0, 0, -136, -1, -20, -157
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\register_view\register_view_model.dart", "Dart", 0, 0, 0, 0, -23, 0, -2, -25
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\onboard\view\onboarding.dart", "Dart", 0, 0, 0, 0, 138, 3, 20, 161
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\onboard\view\onboarding_one_view.dart", "Dart", 0, 0, 0, 0, 40, 1, 6, 47
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\onboard\view\onboarding_three_view.dart", "Dart", 0, 0, 0, 0, 40, 1, 7, 48
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\onboard\view\onboarding_two_view.dart", "Dart", 0, 0, 0, 0, 40, 1, 7, 48
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\onboard\viewmodel\onboarding_view_model.dart", "Dart", 0, 0, 0, 0, 14, 0, 2, 16
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\service\auth_service.dart", "Dart", 0, 0, 0, 0, 40, 0, 6, 46
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\view\login_view.dart", "Dart", 0, 0, 0, 0, 126, 1, 17, 144
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\view\register_view.dart", "Dart", 0, 0, 0, 0, 137, 1, 20, 158
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\viewmodel\login_view_model.dart", "Dart", 0, 0, 0, 0, 22, 0, 2, 24
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\viewmodel\register_view_model.dart", "Dart", 0, 0, 0, 0, 23, 0, 2, 25
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\localization\localization.dart", "Dart", 0, 0, 0, 0, -73, 0, -2, -75
