"filename", "language", "YAML", "XML", "Dart", "JSON", "HTML", "Shell Script", "Markdown", "Groovy", "Properties", "C++", "Swift", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\main_pet_form.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\service\group_message_service.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\view\group_template_view.dart", "Dart", 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 200
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\view\petform_home_view.dart", "Dart", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 149
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\viewmodel\group_template_view_model.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\pet_form\viewmodel\petform_home_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\onboard\view\onboarding.dart", "Dart", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 161
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\onboard\view\onboarding_one_view.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 47
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\onboard\view\onboarding_three_view.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 48
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\onboard\view\onboarding_two_view.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 48
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\onboard\viewmodel\onboarding_view_model.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\service\auth_service.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\view\login_view.dart", "Dart", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 144
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\view\register_view.dart", "Dart", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 158
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\viewmodel\login_view_model.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\viewmodel\register_view_model.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\base\state\base_state.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\base\view\profile_view.dart", "Dart", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 128
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\base\view\status_view.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\base\viewmodel\profile_view_model.dart", "Dart", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
