"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\viewmodel\login_view_model.dart", "Dart", 0, -22, 0, -2, -24
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\viewmodel\register_view_model.dart", "Dart", 0, -23, 0, -2, -25
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\base\model\base_view_model.dart", "Dart", 0, 6, 0, 3, 9
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\base\view\base_view.dart", "Dart", 0, 35, 1, 9, 45
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\utility\asset_utils\compress_utils.dart", "Dart", 0, 40, 1, 9, 50
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\utility\router\app_router.dart", "Dart", 0, 0, 0, 2, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\core\utility\widget_utility\fav_button_service.dart", "Dart", 0, 44, 0, 5, 49
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\main.dart", "Dart", 0, -6, 0, -1, -7
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\core\components\select_app_widget.dart", "Dart", 0, -64, 0, -7, -71
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\view\select_app_view.dart", "Dart", 0, -105, 0, -13, -118
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\viewmodel\select_app_view_model.dart", "Dart", 0, 0, 0, -2, -2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\utility\asset_utils\compress_utils.dart", "Dart", 0, -40, -1, -9, -50
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\utility\router\app_router.dart", "Dart", 0, 0, 0, -2, -2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\utility\widget_utility\fav_button_service.dart", "Dart", 0, -44, 0, -5, -49
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\core\components\chat_widgets\user_chat.dart", "Dart", 0, 44, 1, 6, 51
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\core\components\pet_widgets\large_pet_widget.dart", "Dart", 0, 198, 1, 23, 222
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\core\components\pet_widgets\normal_pet_widget.dart", "Dart", 0, 169, 1, 21, 191
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\service\chat_service\chat_service.dart", "Dart", 0, 67, 0, 4, 71
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\service\firebase_crud\crud_service.dart", "Dart", 0, 36, 1, 4, 41
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\service\models\jsons\city_model.dart", "Dart", 0, 36, 0, 10, 46
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\service\models\pet_model.dart", "Dart", 0, 32, 0, 2, 34
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\service\storage_service.dart\storage_crud.dart", "Dart", 0, 21, 0, 5, 26
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\view\add_view.dart", "Dart", 0, 241, 6, 24, 271
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\view\add_view_two.dart", "Dart", 0, 352, 1, 42, 395
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\view\chat_select_view.dart", "Dart", 0, 87, 1, 15, 103
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\view\city_select_view.dart", "Dart", 0, 29, 1, 4, 34
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\view\favorites_view.dart", "Dart", 0, 112, 1, 18, 131
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\view\ilce_select_view.dart", "Dart", 0, 33, 1, 8, 42
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\view\in_chat_view.dart", "Dart", 0, 182, 0, 20, 202
