"filename", "language", "CSS", "JavaScript", "HTML", "Dart", "YAML", "JSON", "XML", "Groovy", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\help_me\view\help_me_home_view.dart", "Dart", 0, 0, 0, 131, 0, 0, 0, 0, 1, 17, 149
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\help_me\view\help_me_view.dart", "Dart", 0, 0, 0, 262, 0, 0, 0, 0, 1, 31, 294
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\help_me\viewmodel\help_me_home_view_view_model.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 1, 6, 20
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\help_me\viewmodel\help_me_home_view_view_model.g.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 5, 6, 19
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\help_me\viewmodel\help_me_view_view_model.dart", "Dart", 0, 0, 0, 76, 0, 0, 0, 0, 1, 14, 91
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\help_me\viewmodel\help_me_view_view_model.g.dart", "Dart", 0, 0, 0, 78, 0, 0, 0, 0, 5, 22, 105
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\core\components\pet_widgets\large_pet_widget.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\add_view_two.dart", "Dart", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\in_chat_view.dart", "Dart", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\other_profile_view.dart", "Dart", 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, -2
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\petilla_detail_view.dart", "Dart", 0, 0, 0, 47, 0, 0, 0, 0, 0, 3, 50
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\patilla\view\petilla_home_view.dart", "Dart", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\pet_form\view\group_template_view.dart", "Dart", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\pet_form\view\petform_home_view.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\onboard\view\onboarding.dart", "Dart", 0, 0, 0, -137, 0, 0, 0, 0, -3, -20, -160
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\onboard\view\onboarding_one_view.dart", "Dart", 0, 0, 0, -40, 0, 0, 0, 0, -1, -6, -47
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\onboard\view\onboarding_three_view.dart", "Dart", 0, 0, 0, -40, 0, 0, 0, 0, -1, -7, -48
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\onboard\view\onboarding_two_view.dart", "Dart", 0, 0, 0, -40, 0, 0, 0, 0, -1, -7, -48
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\onboard\viewmodel\onboarding_view_model.dart", "Dart", 0, 0, 0, -14, 0, 0, 0, 0, -1, -3, -18
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\service\auth_service.dart", "Dart", 0, 0, 0, -40, 0, 0, 0, 0, 0, -6, -46
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\view\login_view.dart", "Dart", 0, 0, 0, -156, 0, 0, 0, 0, -1, -19, -176
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\view\register_view.dart", "Dart", 0, 0, 0, -137, 0, 0, 0, 0, -1, -20, -158
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\viewmodel\login_view_model.dart", "Dart", 0, 0, 0, -22, 0, 0, 0, 0, 0, -2, -24
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\auth\viewmodel\register_view_model.dart", "Dart", 0, 0, 0, -23, 0, 0, 0, 0, 0, -2, -25
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\other\view\about_view.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\other\view\feedback_view.dart", "Dart", 0, 0, 0, 92, 0, 0, 0, 0, 1, 13, 106
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\other\viewmodel\feedback_view_view_model.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 1, 6, 33
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\other\viewmodel\feedback_view_view_model.g.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 5, 8, 30
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\start\view\select_app_view.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\oguzk\Desktop\visual studio\patily\patily\pubspec.yaml", "YAML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 5
"c:\Users\oguzk\Desktop\visual studio\patily\patily\web\index.html", "HTML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\oguzk\Desktop\visual studio\patily\patily\web\splash\splash.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\oguzk\Desktop\visual studio\patily\patily\web\splash\style.css", "CSS", 48, 0, 0, 0, 0, 0, 0, 0, 0, 9, 57
"Total", "-", 48, 5, 4, 1088, 4, 56, 20, 13, 4, 174, 1416
