"filename", "language", "YAML", "Dart", "JSON", "XML", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\add_view_two_view_model.g.dart", "Dart", 0, -44, 0, 0, -5, -8, -57
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\add_view_view_model.dart", "Dart", 0, -51, 0, 0, -1, -13, -65
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\add_view_view_model.g.dart", "Dart", 0, -61, 0, 0, -5, -17, -83
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\chat_select_view_model.dart", "Dart", 0, -51, 0, 0, -1, -8, -60
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\chat_select_view_model.g.dart", "Dart", 0, -38, 0, 0, -5, -9, -52
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\favorites_view_view_model.dart", "Dart", 0, -30, 0, 0, -1, -11, -42
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\favorites_view_view_model.g.dart", "Dart", 0, -56, 0, 0, -5, -16, -77
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\in_chat_view_view_model.dart", "Dart", 0, -36, 0, 0, -1, -7, -44
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\in_chat_view_view_model.g.dart", "Dart", 0, -28, 0, 0, -5, -8, -41
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\main_petilla_view_model.dart", "Dart", 0, -13, 0, 0, -1, -6, -20
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\main_petilla_view_model.g.dart", "Dart", 0, -8, 0, 0, -5, -6, -19
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\other_profile_view_view_model.dart", "Dart", 0, -13, 0, 0, -1, -6, -20
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\other_profile_view_view_model.g.dart", "Dart", 0, -8, 0, 0, -5, -6, -19
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\viewmodel\petilla_detail_view_view_model.dart", "Dart", 0, -49, 0, 0, -1, -12, -62
