"filename", "language", "YAML", "Dart", "JSON", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\login_view\login_view_model.dart", "Dart", 0, 21, 0, 0, 2, 23
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\register_view.dart", "Dart", 0, -151, 0, -1, -19, -171
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\register_view\register_view.dart", "Dart", 0, 136, 0, 1, 20, 157
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\auth\auth_view\register_view\register_view_model.dart", "Dart", 0, 23, 0, 0, 2, 25
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\localization\localization.dart", "Dart", 0, 1, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\strings_constant\locale_constants.dart", "Dart", 0, 3, 0, 0, 1, 4
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\constant\strings_constant\shared_preferences_key_constants.dart", "Dart", 0, 3, 0, 0, 1, 4
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_view\profile_view.dart", "Dart", 0, -118, 0, 0, -14, -132
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_view\profile_view\profile_view.dart", "Dart", 0, 110, 0, 0, 14, 124
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_view\profile_view\profile_view_model.dart", "Dart", 0, 16, 0, 0, 2, 18
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\fav_button.dart", "Dart", 0, -31, 0, 0, -8, -39
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\general\general_widgets\select_app_widget.dart", "Dart", 0, -64, 0, 0, -7, -71
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\main.dart", "Dart", 0, 1, 0, 1, 0, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding.dart", "Dart", 0, -11, 0, 0, -1, -12
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_pages\onboarding_page_one.dart", "Dart", 0, -39, 0, -1, -6, -46
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_pages\onboarding_page_three.dart", "Dart", 0, -39, 0, -1, -7, -47
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_pages\onboarding_page_two.dart", "Dart", 0, -39, 0, -1, -7, -47
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\start\onboarding\onboarding_view_model.dart", "Dart", 0, 18, 0, 0, 2, 20
