"filename", "language", "YAML", "Dart", "Markdown", "JSON", "Groovy", "HTML", "XML", "C++", "Swift", "Properties", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\main_petilla.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 101
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_service\chat_service\chat_service.dart", "Dart", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 71
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_service\firebase_crud\crud_service.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 41
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_service\models\jsons\city_model.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_service\models\pet_model.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_service\storage_service.dart\storage_crud.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\add_view\add_view\add_view.dart", "Dart", 0, 244, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 274
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\add_view\add_view\add_view_model.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\add_view\add_view_two\add_view_two.dart", "Dart", 0, 372, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42, 415
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\add_view\add_view_two\add_view_two_view_model.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\add_view\city\city_select_view.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 39
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\apps\main_petilla\petilla_main_view\main_view\add_view\city\ilce_select_view.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 42
