"filename", "language", "JSON", "XML", "HTML", "Dart", "Markdown", "YAML", "Groovy", "Properties", "C++", "Swift", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\base\view\profile_view.dart", "Dart", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 1, 17, 144
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\base\view\status_view.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\base\viewmodel\profile_view_view_model.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 7, 37
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\base\viewmodel\profile_view_view_model.g.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 8, 27
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\components\button.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\components\dialogs\default_dialog.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\components\dialogs\error_dialog.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\components\single_message.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\components\textfields\auth_textfield.dart", "Dart", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\components\textfields\main_textfield.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 4, 69
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\app\app_constants.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\app\router_contants.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\enums\file_type_enum.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\enums\locale_keys_enum.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\enums\status_keys_enum.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\image\image_constants.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\other_constant\icon_names.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\sizes_constant\app_sized_box.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\sizes_constant\project_button_sizes.dart", "Dart", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\sizes_constant\project_card_sizes.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\sizes_constant\project_icon_sizes.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\sizes_constant\project_padding.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\sizes_constant\project_radius.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\core\constants\string_constant\app_firestore_field_names.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
