"filename", "language", "YAML", "Markdown", "Dart", "XML", "JSON", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\pet_form\view\petform_home_view.dart", "Dart", 0, 0, -3, 0, 0, 0, -2, -5
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\pet_form\viewmodel\petform_home_view_model.dart", "Dart", 0, 0, -28, 0, 0, 0, -3, -31
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\pet_form\viewmodel\petform_home_view_model.g.dart", "Dart", 0, 0, -34, 0, 0, 0, -4, -38
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\petcook\core\components\photo_widget.dart", "Dart", 0, 0, 45, 0, 0, 0, 4, 49
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\petcook\core\constants\enums\post_type.dart", "Dart", 0, 0, 1, 0, 0, 1, 2, 4
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\petcook\core\models\post_model.dart", "Dart", 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\petcook\view\add_post_view.dart", "Dart", 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\petcook\view\petcook_control_view.dart", "Dart", 0, 0, 13, 0, 0, 0, 4, 17
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\petcook\view\petcook_home_view.dart", "Dart", 0, 0, 89, 0, 0, 9, 11, 109
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\petcook\viewmodel\petcook_home_view_view_model.dart", "Dart", 0, 0, 13, 0, 0, 1, 6, 20
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\apps\petcook\viewmodel\petcook_home_view_view_model.g.dart", "Dart", 0, 0, 8, 0, 0, 5, 6, 19
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\other\view\social_connection_view.dart", "Dart", 0, 0, 51, 0, 0, 0, 6, 57
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\start\core\components\select_app_widget.dart", "Dart", 0, 0, 19, 0, 0, 0, -3, 16
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\start\view\select_app_view.dart", "Dart", 0, 0, -48, 0, 0, 0, -8, -56
"c:\Users\oguzk\Desktop\visual studio\patily\patily\lib\view\user\start\viewmodel\select_app_view_view_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\oguzk\Desktop\visual studio\patily\patily\pubspec.yaml", "YAML", -3, 0, 0, 0, 0, -1, -1, -5
"Total", "-", -3, -1, -586, 2, 11, 0, -98, -675
