"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\core\components\pet_widgets\normal_pet_widget.dart", "Dart", -1, 0, 0, -1
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\apps\main_petilla\view\petilla_home_view.dart", "Dart", 2, 0, 0, 2
"c:\Users\oguzk\Desktop\visual studio\petilla_app_project\petilla_app_project\lib\view\start\view\select_app_view.dart", "Dart", 16, 0, 2, 18
"Total", "-", 17, 0, 2, 19
